City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
San Quintin,MX,60.87,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
Touros,BR,77.54,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
Butaritari,KI,80.89,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
Sabang,ID,80.47,light rain,5.8933,95.3214,Hotel Citra
Kavieng,PG,84.43,light rain,-2.5744,150.7967,Nusa Island Retreat
Cabo San Lucas,MX,72.7,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
Hutang,CN,62.02,clear sky,31.5333,119.4833,Dongyuan Restaurant
Kahului,US,77.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
Zaraza,VE,72.86,broken clouds,9.3503,-65.3245,Hotel Zaraza
Loa Janan,ID,76.87,moderate rain,-0.583,117.095,Kost Garuda
Faanui,PF,78.91,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Mar Del Plata,AR,60.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
Tapiramuta,BR,66.96,broken clouds,-11.8472,-40.7914,Visão Hotel
Basco,PH,79.52,few clouds,20.4487,121.9702,Nathaniel's Lodge
Ormara,PK,80.65,clear sky,25.2088,64.6357,Kenara Colony House for Rent
Paralimni,CY,62.15,clear sky,35.0375,33.9833,Amore Hotel Apartments
Dahanu,IN,82.94,clear sky,19.9667,72.7333,Pearline Beach Villas
Gizo,SB,85.32,light rain,-8.103,156.8419,Imagination Island
Biltine,TD,69.15,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
Buraydah,SA,63.05,scattered clouds,26.326,43.975,Mövenpick Qassim
Dera Bugti,PK,69.12,clear sky,29.0307,69.151,Nawab Bugti House
Ribeira Grande,PT,60.78,broken clouds,38.5167,-28.7,Quinta da Meia Eira
Kaitangata,NZ,63.84,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
Port Alfred,ZA,68.18,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
Garowe,SO,73.83,scattered clouds,8.4054,48.4845,Sacaada Hotel
Cascais,PT,63.93,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
Anito,PH,81.28,light rain,12.4497,125.2886,El Felix Cottages
Funtua,NG,61.03,few clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
Dori,BF,73.04,clear sky,14.0354,-0.0345,Hôtel Liptako
Victoria,HK,81.97,overcast clouds,22.2855,114.1577,Mini Central
Nguru,NG,66.2,overcast clouds,12.8791,10.4526,Government Lodge
Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
Port Moresby,PG,90.82,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
Sinnamary,GF,78.13,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Los Llanos De Aridane,ES,74.12,clear sky,28.6585,-17.9182,Valle Aridane
Muros,ES,60.15,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
Maldonado,UY,65.59,overcast clouds,-34.6667,-54.9167,La Cimarrona
Iberia,US,60.87,overcast clouds,29.9502,-91.7507,back to back rv park
Erzin,TR,62.2,clear sky,36.9559,36.2,Artemis Otel
Waiouru,NZ,61.43,overcast clouds,-39.4833,175.6667,Tawhiri
Liwale,TZ,71.8,scattered clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
Paragominas,BR,71.8,broken clouds,-2.9667,-47.4833,INOVA
Chipiona,ES,68.22,scattered clouds,36.7366,-6.437,Al Sur De Chipiona
Puerto Escondido,MX,79.68,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Hotel Vitória Palace
Buin,CL,71.11,clear sky,-33.7333,-70.75,Paihuen
Tura,IN,76.21,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
Banjar,ID,85.41,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
Gat,IL,65.39,few clouds,31.61,34.7642,OlusHome
Trairi,BR,79.02,broken clouds,-3.2778,-39.2689,janelas do mar
Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
Ponta Do Sol,PT,66.83,overcast clouds,32.6667,-17.1,Hotel do Campo
Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
Kaeo,NZ,64.47,overcast clouds,-35.1,173.7833,Bushido Lodge
Ajdabiya,LY,60.26,clear sky,30.7554,20.2263,Almadina Hotel
Vao,NC,74.97,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
Arona,ES,70.32,clear sky,28.0996,-16.681,Paradise Court
Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
Hithadhoo,MV,81.54,overcast clouds,-0.6,73.0833,Scoop Guest House
