City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Port Alfred,ZA,-33.5906,26.891,68.18,80,56,4.0,broken clouds
117,Garowe,SO,8.4054,48.4845,73.83,63,44,9.55,scattered clouds
118,Klaksvik,FO,62.2266,-6.589,50.92,86,100,34.09,overcast clouds
119,Zyryanka,RU,65.75,150.85,-24.72,93,66,0.6,broken clouds
120,Kizema,RU,61.113,44.8302,19.56,82,20,5.48,few clouds
121,Tasiilaq,GL,65.6145,-37.6368,27.73,97,100,4.32,overcast clouds
122,Cascais,PT,38.6979,-9.4215,63.93,82,99,17.0,overcast clouds
123,Anito,PH,12.4497,125.2886,81.28,89,100,10.25,light rain
124,Funtua,NG,11.5233,7.3081,61.03,30,23,9.1,few clouds
125,Codrington,AU,-38.2667,141.9667,53.46,56,90,17.92,overcast clouds
126,Vestmannaeyjar,IS,63.4427,-20.2734,45.43,84,100,10.25,overcast clouds
127,Dori,BF,14.0354,-0.0345,73.04,16,4,10.85,clear sky
128,Provideniya,RU,64.3833,-173.3,30.36,69,100,20.0,overcast clouds
129,Vestmanna,FO,62.1564,-7.1664,49.12,81,100,29.93,overcast clouds
130,Victoria,HK,22.2855,114.1577,81.97,77,93,7.0,overcast clouds
131,Coihaique,CL,-45.5752,-72.0662,49.95,66,89,5.75,light rain
132,Bogalusa,US,30.791,-89.8487,53.35,93,100,0.0,moderate rain
133,Nguru,NG,12.8791,10.4526,66.2,27,100,9.22,overcast clouds
134,New Norfolk,AU,-42.7826,147.0587,49.5,83,100,4.0,overcast clouds
135,Solnechnyy,RU,50.7214,136.6319,25.56,58,10,3.8,clear sky
136,Jinchang,CN,38.4953,102.1739,46.51,21,100,5.21,overcast clouds
137,Hofn,IS,64.2539,-15.2082,46.17,95,100,16.98,light rain
138,Vaini,TO,-21.2,-175.2,78.96,89,40,9.22,scattered clouds
139,San Patricio,US,28.017,-97.5169,57.83,83,46,13.06,scattered clouds
140,Korla,CN,41.7597,86.1469,41.41,43,13,9.33,few clouds
141,Katsuura,JP,35.1333,140.3,59.02,86,100,16.78,overcast clouds
142,Bolshoye Nagatkino,RU,54.5196,47.9679,23.63,74,100,15.46,overcast clouds
143,Port Moresby,PG,-9.4431,147.1797,90.82,58,40,17.27,scattered clouds
144,Flin Flon,CA,54.7682,-101.865,5.4,99,67,3.33,broken clouds
145,Sinnamary,GF,5.3833,-52.95,78.13,86,11,10.38,few clouds
146,Jurm,AF,36.8648,70.8342,45.77,45,13,3.2,few clouds
147,Nikaia,GR,37.9667,23.65,57.04,81,20,5.75,few clouds
148,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,24,0,7.0,clear sky
149,Muros,ES,42.7762,-9.0603,60.15,95,100,13.76,overcast clouds
150,Maldonado,UY,-34.6667,-54.9167,65.59,67,95,17.65,overcast clouds
151,Sangar,RU,63.9242,127.4739,-26.37,97,91,2.98,overcast clouds
152,Iberia,US,29.9502,-91.7507,60.87,88,100,8.05,overcast clouds
153,Erzin,TR,36.9559,36.2,62.2,49,6,4.23,clear sky
154,Waiouru,NZ,-39.4833,175.6667,61.43,74,89,4.32,overcast clouds
155,Liwale,TZ,-9.7667,37.9333,71.8,79,47,5.01,scattered clouds
156,Mvangue,CM,2.9667,11.5167,66.78,96,80,2.37,broken clouds
157,Paragominas,BR,-2.9667,-47.4833,71.8,97,71,3.42,broken clouds
158,Chipiona,ES,36.7366,-6.437,68.22,83,40,9.22,scattered clouds
159,Farmington,US,36.7281,-108.2187,31.21,60,0,4.0,clear sky
160,Aktash,RU,50.3,87.7333,24.94,55,74,9.08,broken clouds
161,Chokurdakh,RU,70.6333,147.9167,-17.55,99,100,9.15,overcast clouds
162,Edd,ER,13.9297,41.6925,84.29,45,0,12.66,clear sky
163,Qaanaaq,GL,77.484,-69.3632,-2.83,79,42,4.09,scattered clouds
164,Puerto Escondido,MX,15.85,-97.0667,79.68,84,16,3.24,few clouds
165,Khatanga,RU,71.9667,102.5,-6.0,97,100,15.05,overcast clouds
166,Kuli,RU,42.0185,47.2434,31.17,67,2,3.89,clear sky
167,Vila Velha,BR,-20.3297,-40.2925,76.95,91,100,11.01,light rain
168,Buin,CL,-33.7333,-70.75,71.11,37,2,4.03,clear sky
169,Tura,IN,25.5198,90.2201,76.21,58,0,1.68,clear sky
170,Banjar,ID,-8.19,114.9675,85.41,75,100,2.19,heavy intensity rain
171,Winslow,US,35.0242,-110.6974,30.38,55,0,3.44,clear sky
172,Gat,IL,31.61,34.7642,65.39,100,24,3.53,few clouds
173,Trairi,BR,-3.2778,-39.2689,79.02,76,77,10.47,broken clouds
174,Sembakung,ID,3.8167,117.25,93.16,49,100,0.25,overcast clouds
175,Salalah,OM,17.0151,54.0924,75.29,46,0,4.61,clear sky
176,Ikalamavony,MG,-21.15,46.5833,75.29,59,54,7.09,broken clouds
177,Ponta Do Sol,PT,32.6667,-17.1,66.83,70,93,2.71,overcast clouds
178,Avarua,CK,-21.2078,-159.775,73.45,64,80,10.36,broken clouds
179,Kaeo,NZ,-35.1,173.7833,64.47,89,90,7.47,overcast clouds
180,Ajdabiya,LY,30.7554,20.2263,60.26,74,0,4.25,clear sky
181,Elliot Lake,CA,46.3834,-82.6331,26.71,55,100,4.88,overcast clouds
182,Copperas Cove,US,31.1241,-97.9031,46.92,86,100,16.11,overcast clouds
183,Vao,NC,-22.6667,167.4833,74.97,77,2,8.75,clear sky
184,Lavrentiya,RU,65.5833,-171.0,23.74,90,23,9.53,few clouds
185,Padang,ID,-0.9492,100.3543,80.65,80,99,4.65,light rain
186,Arona,ES,28.0996,-16.681,70.32,44,0,12.66,clear sky
187,Baoning,CN,25.3378,110.026,55.26,94,100,2.24,mist
188,Cap Malheureux,MU,-19.9842,57.6142,77.47,51,2,8.99,clear sky
189,Hithadhoo,MV,-0.6,73.0833,81.54,77,86,13.51,overcast clouds
190,Ugoofaaru,MV,5.6667,73.0,81.72,76,100,7.49,moderate rain
191,Broome,US,42.2506,-75.833,32.77,74,62,0.54,broken clouds
192,Shache,CN,38.4167,77.2406,44.64,26,0,1.77,clear sky
193,Zhongshu,CN,24.5167,103.7667,66.15,65,96,9.84,overcast clouds
194,Yulara,AU,-25.2406,130.9889,83.26,18,74,8.63,broken clouds
195,Hammonton,US,39.6365,-74.8024,39.69,83,25,4.36,scattered clouds
196,Narrabri,AU,-30.3167,149.7833,77.52,49,74,1.99,broken clouds
197,Mahebourg,MU,-20.4081,57.7,77.25,50,20,8.05,few clouds
198,Sainte-Rose,GP,16.3324,-61.6979,77.04,94,100,6.91,overcast clouds
199,Goderich,CA,43.7501,-81.7165,32.92,86,92,9.22,overcast clouds
200,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.31,97,68,1.12,broken clouds
201,Narasannapeta,IN,18.4167,84.05,78.84,52,0,4.68,clear sky
202,Tanout,NE,14.9709,8.8879,63.66,22,61,11.56,broken clouds
203,Peniche,PT,39.3558,-9.3811,65.1,88,100,20.42,overcast clouds
204,San Jose,US,37.3394,-121.895,55.11,67,75,8.05,broken clouds
205,Ostrovnoy,RU,68.0531,39.5131,28.85,79,85,4.27,overcast clouds
206,Aklavik,CA,68.2191,-135.0107,14.95,86,100,16.37,overcast clouds
