City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Montorio Al Vomano,42.5831,13.6383,53.96,67,73,4.85,IT,2022-11-08 23:04:39
162,Mabaruma,8.2,-59.7833,75.29,94,97,3.09,GY,2022-11-08 23:04:39
163,Antofagasta,-23.65,-70.4,61.88,77,12,4.72,CL,2022-11-08 23:04:13
164,Fernie,49.5,-115.0687,20.97,87,76,1.83,CA,2022-11-08 23:04:40
165,Lompoc,34.6391,-120.4579,55.78,89,100,8.05,US,2022-11-08 23:02:21
166,Galapagar,40.5783,-4.0043,53.89,93,99,5.99,ES,2022-11-08 23:04:40
167,Yerbogachen,61.2767,108.0108,15.24,93,100,9.69,RU,2022-11-08 23:04:41
168,Bilma,18.6853,12.9164,72.23,22,1,9.64,NE,2022-11-08 23:04:41
169,Sao Joao Da Barra,-21.6403,-41.0511,73.49,81,31,8.32,BR,2022-11-08 23:04:41
170,Moerai,-22.4333,-151.3333,71.85,74,92,17.96,PF,2022-11-08 23:04:41
171,Hobart,-42.8794,147.3294,70.05,61,0,1.14,AU,2022-11-08 23:00:03
172,Rio Cuarto,-33.1307,-64.3499,76.32,25,97,17.05,AR,2022-11-08 23:04:42
173,Sabha,27.0377,14.4283,62.17,52,0,6.89,LY,2022-11-08 23:04:42
174,Te Anau,-45.4167,167.7167,63.91,53,100,3.15,NZ,2022-11-08 23:04:42
175,Jumla,29.2747,82.1838,41.22,73,46,4.07,NP,2022-11-08 23:04:43
176,Rorvik,64.8621,11.2373,41.11,65,40,17.27,NO,2022-11-08 23:03:12
177,Prado,-17.3411,-39.2208,71.94,79,100,7.49,BR,2022-11-08 23:04:43
178,San Quintin,30.4833,-115.95,67.17,71,6,9.75,MX,2022-11-08 23:04:44
179,Gat,31.61,34.7642,65.39,100,28,2.73,IL,2022-11-08 23:04:44
180,Half Moon Bay,37.4636,-122.4286,56.17,76,40,11.5,US,2022-11-08 23:00:31
181,Puerto Concordia,2.6221,-72.7572,75.22,92,74,2.89,CO,2022-11-08 23:04:44
182,Rocha,-34.4833,-54.3333,54.25,93,0,6.38,UY,2022-11-08 23:01:10
183,Marienburg,54.0359,19.0266,49.87,87,100,11.34,PL,2022-11-08 23:04:45
184,Nizhniy Tsasuchey,50.5167,115.1333,21.74,79,41,8.81,RU,2022-11-08 23:05:45
185,Tura,25.5198,90.2201,64.04,90,0,3.96,IN,2022-11-08 23:05:45
186,Axim,4.8699,-2.2405,78.37,86,30,7.11,GH,2022-11-08 23:05:46
187,Mehamn,71.0357,27.8492,35.51,100,20,2.3,NO,2022-11-08 23:05:46
188,Nikolskoye,59.7035,30.7861,44.49,90,98,7.16,RU,2022-11-08 23:05:46
189,Sabang,5.8933,95.3214,80.62,76,99,4.23,ID,2022-11-08 23:05:46
190,Beringovskiy,63.05,179.3167,23.49,87,100,3.87,RU,2022-11-08 23:05:47
191,Conceicao Do Araguaia,-8.2578,-49.2647,74.62,88,100,2.8,BR,2022-11-08 23:05:47
192,Mahebourg,-20.4081,57.7,73.26,75,77,9.26,MU,2022-11-08 23:03:07
193,Kroya,-7.6331,109.2461,77.02,88,97,1.77,ID,2022-11-08 23:05:47
194,Ipixuna,-1.7625,-48.8043,72.61,97,100,2.64,BR,2022-11-08 23:05:48
195,Talnakh,69.4865,88.3972,-15.57,96,44,2.39,RU,2022-11-08 23:05:48
196,Port Moresby,-9.4431,147.1797,81.52,73,99,5.95,PG,2022-11-08 23:05:48
197,Teguldet,57.3064,88.1667,21.56,98,100,3.13,RU,2022-11-08 23:05:49
198,Rauma,61.1272,21.5113,35.64,95,100,7.61,FI,2022-11-08 23:05:49
199,Fukue,32.6881,128.8419,64.67,49,0,5.12,JP,2022-11-08 23:05:50
200,Diego De Almagro,-26.3667,-70.05,70.14,31,76,6.67,CL,2022-11-08 23:05:50
201,Oussouye,12.485,-16.5469,78.84,71,98,7.02,SN,2022-11-08 23:05:50
202,Maceio,-9.6658,-35.7353,76.44,88,20,2.3,BR,2022-11-08 23:05:51
203,Luderitz,-26.6481,15.1594,59.22,84,70,10.29,NA,2022-11-08 23:05:51
